0x680, Time, 80, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3452, Pack SOC, 80
0x683, Time, 81, High Cell Voltage, 38694, Low Cell Voltage, 37352, Average Cell Voltage 55040
0x682, Time, 81, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 81, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 184, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3452, Pack SOC, 80
0x683, Time, 185, High Cell Voltage, 38695, Low Cell Voltage, 37352, Average Cell Voltage 54784
0x682, Time, 185, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 185, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 288, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3452, Pack SOC, 80
0x683, Time, 289, High Cell Voltage, 38694, Low Cell Voltage, 37352, Average Cell Voltage 55040
0x682, Time, 289, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 289, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 392, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3452, Pack SOC, 80
0x683, Time, 393, High Cell Voltage, 38694, Low Cell Voltage, 37353, Average Cell Voltage 55040
0x682, Time, 393, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 393, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 429, ERPM, 0, MC Input Voltage, 1
0x151, Time, 433, AC Current, 0, DC Current, 0
0x251, Time, 437, Controller Temp, 370, Motor Temp, 388, Fault Code, 2
0x051, Time, 449, ERPM, 0, MC Input Voltage, 1
0x151, Time, 453, AC Current, 0, DC Current, 0
0x251, Time, 457, Controller Temp, 370, Motor Temp, 389, Fault Code, 2
0x051, Time, 469, ERPM, 0, MC Input Voltage, 1
0x151, Time, 473, AC Current, 0, DC Current, 0
0x251, Time, 477, Controller Temp, 370, Motor Temp, 389, Fault Code, 2
